Fiscal Year,Activity Type,Activity Name,Description,Channel/Venue,Date,Status,Notes
F26,Consumer Promo,HTD: Central Region Happy Hour,,On-Premise,2025-09-04,Executed,From Outlook calendar
F26,Consumer Promo,Discuss Seafood Festival In OCT,,On-Premise,2025-09-04,Executed,From Outlook calendar
F26,Consumer Promo,Nat'l Bourbon Month Event x Stache,,On-Premise,2025-09-10,Executed,From Outlook calendar
F26,Consumer Promo,Stache - OF Event ,,On-Premise,2025-09-10,Executed,From Outlook calendar
F26,Branded Samples,Old Forester Consumer Sampling x Ukiah (Event starts at 5p),,On-Premise,2025-09-15,Executed,From Outlook calendar
F26,Branded Samples,Diplo Consumer Safari,,On-Premise,2025-09-17,Executed,From Outlook calendar
F26,Consumer Promo,Prendes event,,On-Premise,2025-09-18,Executed,From Outlook calendar
F26,Buy the Barrel,Martinis & Tradewinds OF Tasting / Barrel Pick - Gables,,On-Premise,2025-09-18,Executed,From Outlook calendar
F26,Consumer Promo,Dead Flamingo x SOBE Seafood Festival,,On-Premise,2025-10-02,Executed,From Outlook calendar
F26,Consumer Promo,SHABOOZEY CONCERT @ JANNUS LIVE - JDTW,,On-Premise,2025-10-12,Executed,From Outlook calendar
F26,Consumer Promo,SHABOOZEY Concert - House of Blues - JDTW,,On-Premise,2025-10-16,Executed,From Outlook calendar
F26,Consumer Promo,Dinner in Brickell w/ BBG,,On-Premise,2025-10-16,Executed,From Outlook calendar
F26,Consumer Promo,Carbone Sobe Dinner ,,On-Premise,2025-10-22,Executed,From Outlook calendar
F26,Consumer Promo,SOBE Seafood - Carbone at BLUE ROOM Dinner,,On-Premise,2025-10-22,Executed,From Outlook calendar
F26,Consumer Promo,Catch SOBE Dinner ,,On-Premise,2025-10-23,Executed,From Outlook calendar
F26,Consumer Promo,SOBE Seafood - CATCH Dinner - HE,,On-Premise,2025-10-23,Executed,From Outlook calendar
F26,Consumer Promo,Hold for Diplomatico Event x Swizzle,,On-Premise,2025-10-27,Executed,From Outlook calendar
F26,Branded Samples,"East Pointe Country Club, Bourbon and Cigar Night (Sit down tasting with Engraver)",,On-Premise,2025-11-07,Executed,From Outlook calendar
F26,Buy the Barrel,Save The Date -- 'Carols By The Barrels' ,,On-Premise,2025-11-20,Executed,From Outlook calendar
F26,Consumer Promo,JACK BLACK FRIDAY HAPPY HOUR / Boca Raton & West Palm Beach / O'Briens Irish Pub & ER Bradleys ,,On-Premise,2025-11-21,Executed,From Outlook calendar
F26,Consumer Promo,JACK BLACK FRIDAY HAPPY HOUR / Miramar South / Mama Tried,,On-Premise,2025-11-21,Executed,From Outlook calendar
F26,Consumer Promo,STR to Drop Off Jack Stave Bar for Unkommon Events,,On-Premise,2025-11-24,Executed,From Outlook calendar
F26,Consumer Promo,Diplo event Vecinos,,On-Premise,2025-12-02,Executed,From Outlook calendar
F26,Consumer Promo,Dinner,,On-Premise,2025-12-03,Executed,From Outlook calendar
F26,Consumer Promo,Museum of Graffiti - Art of Hip Hop Event,,On-Premise,2025-12-03,Executed,From Outlook calendar
F26,Consumer Promo,E11even Art Basel Event,,On-Premise,2025-12-04,Executed,From Outlook calendar
F26,Consumer Promo,Museum of Graffiti - Art Basel Event,,On-Premise,2025-12-04,Executed,From Outlook calendar
F26,Consumer Promo,Hold for Art Basel x Brown Forman x Allegory Pop Up,,On-Premise,2025-12-04,Executed,From Outlook calendar
F26,Consumer Promo,WR / Sergio Hudson / VIP Dinner - HOLD,,On-Premise,2025-12-05,Executed,From Outlook calendar
F26,Consumer Promo,Vice Versa x Double Chicken Please Basel pop up (Hold),,On-Premise,2025-12-07,Executed,From Outlook calendar
F26,Consumer Promo,Team Dinner,,On-Premise,2025-12-08,Executed,From Outlook calendar
F26,Consumer Promo,Sinatra's Birthday TRADE EVENT - HOLD,,On-Premise,2025-12-08,Executed,From Outlook calendar
F26,Consumer Promo,NRS BF Happy Hour - Las Olas,,On-Premise,2025-12-09,Executed,From Outlook calendar
F26,Consumer Promo,Sinatra's Birthday - Influencer Event/Bleau Bar Event - HOLD,,On-Premise,2025-12-12,Executed,From Outlook calendar
F26,Consumer Promo,Central Region Holiday Happy Hour,,On-Premise,2025-12-16,Executed,From Outlook calendar
F26,Branded Samples,"BRIC, OF Whiskey Row Tasting/Engraving Event, 800+ guests",,On-Premise,2025-12-19,Executed,From Outlook calendar
F26,Consumer Promo,BF HH/Dinner Parea ,,On-Premise,2026-01-29,Executed,From Outlook calendar
F26,Consumer Promo,Central Region Happy Hour,,On-Premise,2026-02-19,Executed,From Outlook calendar
F26,Branded Samples,Voodoo Lounge Old Forester Member's Tasting Event,,On-Premise,2026-02-23,Executed,From Outlook calendar
F26,Consumer Promo,Consumer Connection Series:  On Premise Overview with Nielsen CGA,,On-Premise,2026-03-10,Executed,From Outlook calendar
F26,Consumer Promo,"Hold for Hard Rock Hotel x Diplomatico Activation, L Bar",,On-Premise,2026-03-13,Executed,From Outlook calendar
F26,Consumer Promo,"Miami Charity Baseball Game Activation, First Pitch 11a",,On-Premise,2026-03-22,Executed,From Outlook calendar
F26,Consumer Promo,Seia Happy Hour,,On-Premise,2026-03-24,Executed,From Outlook calendar
F26,Consumer Promo,BF Dinner w/ Casey ,,On-Premise,2026-03-24,Executed,From Outlook calendar
F26,Consumer Promo,Music Week Activation at Mordrian,,On-Premise,2026-03-28,Executed,From Outlook calendar
F26,Branded Samples,Discuss the Hive hosting the tequila tasting,,On-Premise,2026-04-08,Executed,From Outlook calendar
F26,Consumer Promo,Central Region Happy Hour,,On-Premise,2026-04-16,Executed,From Outlook calendar
F26,Consumer Promo,F1 Event Check IN ,,On-Premise,2026-04-22,Executed,From Outlook calendar
F26,Branded Samples,Key West Songwriter Samples,,On-Premise,2026-04-29,Executed,From Outlook calendar
F26,Consumer Promo,McLaren Live Event ,,On-Premise,2026-04-29,Executed,From Outlook calendar
F26,Consumer Promo,Prestige PR Event @ Bayshore Club,,On-Premise,2026-04-30,Executed,From Outlook calendar
F26,Consumer Promo,Team Dinner @ Bayshore Club,,On-Premise,2026-04-30,Executed,From Outlook calendar
F26,Consumer Promo,JD F1 Promotion - MONDRIAN,,On-Premise,2026-05-01,Executed,From Outlook calendar
F26,Consumer Promo,UMG Dinner Seia Miami,,On-Premise,2026-05-01,Executed,From Outlook calendar
F26,Consumer Promo,BF BBG F1 Annual Queen Event ,,On-Premise,2026-05-02,Executed,From Outlook calendar
F26,Branded Samples,Solei’s Grand Opening / Tasting ( Surfcomber Miami Beach ),,On-Premise,2026-05-15,Executed,From Outlook calendar
F26,Consumer Promo,Legends Big 3 Dinner at The Moore ,,On-Premise,2026-06-23,Executed,From Outlook calendar
F26,Branded Samples,EJ Sampling- Confirmed,,On-Premise,2026-06-24,Executed,From Outlook calendar
F27,Branded Samples,World Cup- HR/EJ Sampling,,On-Premise,2026-07-05,Executed,From Outlook calendar
F27,Consumer Promo,Diplo Bartender Friendly & Happy Hour,,On-Premise,2026-07-13,Executed,From Outlook calendar
F27,Consumer Promo,Macchialina x SOBE Dinner ,,On-Premise,2026-07-30,Executed,From Outlook calendar
