SKU,Title,Price,Category,Photo_Path
TB-01,Product TB-01,28.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-01-hero.jpg
TB-02,Product TB-02,32.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-02-hero.jpg
TB-03,Product TB-03,35.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-03-hero.jpg
TB-04,Product TB-04,55.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-04-hero.jpg
TB-05,Product TB-05,98.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-05-hero.jpg
TB-06,Product TB-06,28.0,Personalized Gifts,laserpecker_assets/etsy_photos/TB-06-hero.jpg
CB-01,Product CB-01,45.0,Personalized Gifts,laserpecker_assets/etsy_photos/CB-01-hero.jpg
CB-02,Product CB-02,52.0,Personalized Gifts,laserpecker_assets/etsy_photos/CB-02-hero.jpg
CB-03,Product CB-03,48.0,Personalized Gifts,laserpecker_assets/etsy_photos/CB-03-hero.jpg
CB-04,Product CB-04,75.0,Personalized Gifts,laserpecker_assets/etsy_photos/CB-04-hero.jpg
PT-01,Product PT-01,12.0,Personalized Gifts,laserpecker_assets/etsy_photos/PT-01-hero.jpg
PT-02,Product PT-02,16.0,Personalized Gifts,laserpecker_assets/etsy_photos/PT-02-hero.jpg
PT-03,Product PT-03,18.0,Personalized Gifts,laserpecker_assets/etsy_photos/PT-03-hero.jpg
WD-01,Product WD-01,22.0,Personalized Gifts,laserpecker_assets/etsy_photos/WD-01-hero.jpg
WD-02,Product WD-02,38.0,Personalized Gifts,laserpecker_assets/etsy_photos/WD-02-hero.jpg
