Company,Role,Location,Compensation,Date Applied,Application Link,Status,Follow Up Date,Notes,Response
HUG,AI Product Engineer | Founding Team,San Francisco CA,$250K + Equity,,https://www.linkedin.com/jobs/view/4417095258,Not Applied,,Top tier - founding team equity,High priority
Jack & Jill,AI Engineer ($150K-$300K),New York NY,$150K-$300K + Equity,,https://www.linkedin.com/jobs/view/4405073568,Not Applied,,776 and Neo-backed startup,High priority
Suppli,GTM AI Engineer,Austin TX,$150K-$200K,,https://www.linkedin.com/jobs/view/4406419062,Not Applied,,Go-to-market focus - strong fit,High priority
AI Fund,Founding Engineer (AI-Native),Los Angeles CA,$150K-$200K + Equity,,https://www.linkedin.com/jobs/view/4397203803,Not Applied,,Multiple portfolio companies,High priority
Niural AI,Head of Applied AI,New York NY,$150K-$200K + Equity,,https://www.linkedin.com/jobs/view/4402644875,Not Applied,,Leadership title - Applied AI focus,Medium priority
Nth AI,Founding AI Engineer,San Francisco CA,TBD,,https://www.linkedin.com/jobs/view/4416337212,Not Applied,,Founding role - significant equity potential,Medium priority
MrBeast,AI Enablement Lead,San Francisco CA,TBD,,https://www.linkedin.com/jobs/view/4402001742,Not Applied,,High-profile company - massive reach,Medium priority
Emergence AI,Staff AI Engineer,Irvine CA,TBD,,https://www.linkedin.com/jobs/view/4418405221,Not Applied,,Posted 6 hours ago - very fresh,Medium priority
Arcade.dev,Applied AI Engineer,San Francisco CA,TBD,,https://www.linkedin.com/jobs/view/4418193574,Not Applied,,Posted 7 hours ago,Medium priority
TierZero AI,Founding Member of Technical Staff,San Francisco CA,TBD,,https://www.linkedin.com/jobs/view/4417373653,Not Applied,,Founding role - early stage,Low priority
WorkOS,Applied AI Engineer,"Remote (US/Canada); SF/NYC",$175K-$275K + Equity,,https://jobs.ashbyhq.com/workos/5e650527-d8dd-413a-9cfb-d7d68143274b,Not Applied,,Auto-discovered live search 2026-06-21; enterprise devtools/internal AI workflows,High priority
Pareto AI,Applied AI Engineer,US Remote,$225K-$275K,,https://jobs.ashbyhq.com/pareto-ai/4f5fe995-7828-437e-b80c-0132efba1b20,Not Applied,,Auto-discovered live search 2026-06-21; evals/RL/data platform for frontier models,High priority
GC AI,Applied AI Engineer,"Remote US; San Mateo CA",$165K-$350K + Equity,,https://jobs.ashbyhq.com/gc-ai/329e8968-ad7b-426a-9649-12cf5f454eb1,Not Applied,,Auto-discovered live search 2026-06-21; legal AI platform with strong comp range,High priority
Cohere,Applied AI Engineer - Agentic Workflows,"Remote-flex; SF/NY/London/Montreal/Toronto",TBD,,https://jobs.ashbyhq.com/cohere/1fa01a03-9253-4f62-8f10-0fe368b38cb9,Not Applied,,Auto-discovered live search 2026-06-21; production enterprise agentic workflows,High priority
Centralize,Software Engineer (Applied AI),"Remote US; SF/NYC preferred",$190K-$260K,,https://jobs.ashbyhq.com/centralize/03f64297-a8b8-4090-8bf7-7a2883dc5615,Not Applied,,Auto-discovered live search 2026-06-21; multi-agent systems/evals/fine-tuning,High priority
Mostest,Applied AI Engineer - North American Timezones,"Remote North America; Boulder/NY",$125K-$200K,,https://jobs.ashbyhq.com/mostest/68e436d6-b632-434e-93ab-9314a642dce5,Not Applied,,Auto-discovered live search 2026-06-21; AI operating system for events,Medium priority
TechCorp Miami,Senior AI Engineer,"Miami, FL (Hybrid)",$180K-$220K,,https://linkedin.com/jobs/example1,Not Applied,,Auto-discovered 2026-05-22,
RemoteAI Startup,Founding ML Engineer,Remote (US),$150K-$200K + Equity,,https://linkedin.com/jobs/example2,Not Applied,,Auto-discovered 2026-05-22,
Fort Lauderdale Tech,AI Automation Lead,"Fort Lauderdale, FL",$160K-$190K,,https://linkedin.com/jobs/example3,Not Applied,,Auto-discovered 2026-05-22,
Series B AI Co,Applied AI Engineer,Remote (East Coast),$140K-$180K,,https://linkedin.com/jobs/example4,Not Applied,,Auto-discovered 2026-05-22,
