rank,business_name,category,phone,address,web_status,email_subject,email_body,mockup_link,loom_link,kpi,listing_url
1,"Home Roofing Contractors Fort Lauderdale, FL",roofing,(954) 678-6942,"Fort Lauderdale, FL 33309",no_website_found,"Quick website example for Home Roofing Contractors Fort Lauderdale, FL","Hi Home Roofing Contractors Fort Lauderdale, FL team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly no website found.

I made a quick homepage concept for Home Roofing Contractors Fort Lauderdale, FL focused on more storm-season calls in 33309.
Mockup: https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-01-home-roofing-contractors-fort-lauderdale-fl.html)
40-sec walkthrough: PENDING_RECORDING

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-01-home-roofing-contractors-fort-lauderdale-fl.html),PENDING_RECORDING,Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/home-roofing-contractors-fort-lauderdale-fl-562722227
2,Advantage Roofing,roofing,(855) 887-7709,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Advantage Roofing,"Hi Advantage Roofing team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Advantage Roofing focused on more storm-season calls in 33309.
Mockup: https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-02-advantage-roofing.html)
40-sec walkthrough: PENDING_RECORDING

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-02-advantage-roofing.html),PENDING_RECORDING,Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/advantage-roofing-11273588
3,Aldred Roofing Inc,roofing,(954) 733-7332,"Oakland Park, FL 33309",weak_directory_style_site,Quick website example for Aldred Roofing Inc,"Hi Aldred Roofing Inc team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Aldred Roofing Inc focused on more storm-season calls in 33309.
Mockup: https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-03-aldred-roofing-inc.html)
40-sec walkthrough: PENDING_RECORDING

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-03-aldred-roofing-inc.html),PENDING_RECORDING,Qualified quote requests,https://www.yellowpages.com/oakland-park-fl/mip/aldred-roofing-inc-560247787
4,Arise & Shine,roofing,(954) 724-9575,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Arise & Shine,"Hi Arise & Shine team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Arise & Shine focused on more storm-season calls in 33309.
Mockup: https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-04-arise-shine.html)
40-sec walkthrough: PENDING_RECORDING

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-04-arise-shine.html),PENDING_RECORDING,Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/arise-shine-451710326
5,BORJAS Roofing,roofing,(954) 995-3894,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for BORJAS Roofing,"Hi BORJAS Roofing team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for BORJAS Roofing focused on more storm-season calls in 33309.
Mockup: https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-05-borjas-roofing.html)
40-sec walkthrough: PENDING_RECORDING

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-05-borjas-roofing.html),PENDING_RECORDING,Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/borjas-roofing-464500787
6,Compare Roofing Experts,roofing,(888) 906-6670,33309 area,weak_directory_style_site,Quick website example for Compare Roofing Experts,"Hi Compare Roofing Experts team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Compare Roofing Experts focused on more storm-season calls in 33309.
Mockup: {{MOCKUP_LINK}}
40-sec walkthrough: {{LOOM_LINK}}

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",{{MOCKUP_LINK}},{{LOOM_LINK}},Qualified quote requests,https://www.yellowpages.com/nationwide/mip/compare-roofing-experts-577854062?lid=1002193288270
7,Industrial Roofing Inc,roofing,(954) 537-1188,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Industrial Roofing Inc,"Hi Industrial Roofing Inc team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Industrial Roofing Inc focused on more storm-season calls in 33309.
Mockup: {{MOCKUP_LINK}}
40-sec walkthrough: {{LOOM_LINK}}

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",{{MOCKUP_LINK}},{{LOOM_LINK}},Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/industrial-roofing-inc-537699312
8,Local Roofing Contractors,roofing,(754) 240-0474,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Local Roofing Contractors,"Hi Local Roofing Contractors team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Local Roofing Contractors focused on more storm-season calls in 33309.
Mockup: {{MOCKUP_LINK}}
40-sec walkthrough: {{LOOM_LINK}}

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",{{MOCKUP_LINK}},{{LOOM_LINK}},Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/local-roofing-contractors-552463870
9,Premier Construction Contractors,roofing,(954) 214-7214,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Premier Construction Contractors,"Hi Premier Construction Contractors team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Premier Construction Contractors focused on more storm-season calls in 33309.
Mockup: {{MOCKUP_LINK}}
40-sec walkthrough: {{LOOM_LINK}}

If you want this live, I can ship a conversion-first site in 7 days with:
- Financing CTA + emergency roof repair hero + review proof block
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Qualified quote requests.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",{{MOCKUP_LINK}},{{LOOM_LINK}},Qualified quote requests,https://www.yellowpages.com/fort-lauderdale-fl/mip/premier-construction-contractors-506572017
10,Drain Service,plumbers,(954) 903-2505,"Fort Lauderdale, FL 33309",weak_directory_style_site,Quick website example for Drain Service,"Hi Drain Service team,

I’m Alec with The One Group in South Florida. I noticed your current web presence is mostly weak directory style site.

I made a quick homepage concept for Drain Service focused on more emergency plumbing calls.
Mockup: {{MOCKUP_LINK}}
40-sec walkthrough: {{LOOM_LINK}}

If you want this live, I can ship a conversion-first site in 7 days with:
- 24/7 emergency CTA + service-area page + click-to-call sticky header
- Click-to-call and quote form
- Mobile-first pages and basic local SEO structure

Primary KPI we would track: Phone calls from website.

Reply YES and I’ll send a one-page rollout plan and timeline.

- Alec Kennedy
The One Group
akennedy@theonegroup.info",{{MOCKUP_LINK}},{{LOOM_LINK}},Phone calls from website,https://www.yellowpages.com/fort-lauderdale-fl/mip/drain-service-545190089
