priority_score,category,business_name,phone,address,web_status,website,listing_url
"100","roofing","Home Roofing Contractors Fort Lauderdale, FL","(954) 678-6942","Fort Lauderdale, FL 33309","no_website_found","","https://www.yellowpages.com/fort-lauderdale-fl/mip/home-roofing-contractors-fort-lauderdale-fl-562722227"
"80","roofing","Advantage Roofing","(855) 887-7709","Fort Lauderdale, FL 33309","weak_directory_style_site","http://advantageroofingfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/advantage-roofing-11273588"
"80","roofing","Aldred Roofing Inc","(954) 733-7332","Oakland Park, FL 33309","weak_directory_style_site","http://aldredroofinginc.localsearch.com/","https://www.yellowpages.com/oakland-park-fl/mip/aldred-roofing-inc-560247787"
"80","electricians","Altron Electrical Services Inc","(954) 530-2532","Fort Lauderdale, FL 33309","weak_directory_style_site","http://altronelectricalservicesinc.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/altron-electrical-services-inc-520290641"
"80","auto repair","American Auto Vinyl Inc","(954) 741-4925","Fort Lauderdale, FL 33309","weak_directory_style_site","http://americanautovinylinc.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/american-auto-vinyl-inc-491150783"
"80","electricians","Analog Electric","(954) 726-5045","Fort Lauderdale, FL 33309","weak_directory_style_site","http://analogelectric.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/analog-electric-480847266"
"80","roofing","Arise & Shine","(954) 724-9575","Fort Lauderdale, FL 33309","weak_directory_style_site","http://ariseshine451710326.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/arise-shine-451710326"
"80","auto repair","Associated Fleet","(954) 533-7343","Fort Lauderdale, FL 33309","weak_directory_style_site","http://associatedfleet.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/associated-fleet-540783539"
"80","auto repair","Autoscr","(954) 776-7799","Fort Lauderdale, FL 33309","weak_directory_style_site","http://autoscrfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/autoscr-504089813"
"80","electricians","Blouin Electric","(954) 491-6353","Fort Lauderdale, FL 33309","weak_directory_style_site","http://blouinelectricfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/blouin-electric-523352297"
"80","roofing","BORJAS Roofing","(954) 995-3894","Fort Lauderdale, FL 33309","weak_directory_style_site","http://borjasroofing.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/borjas-roofing-464500787"
"80","roofing","Compare Roofing Experts","(888) 906-6670","33309 area","weak_directory_style_site","https://www.yellowpages.com/nationwide/mip/compare-roofing-experts-577854062?lid=1002194365266","https://www.yellowpages.com/nationwide/mip/compare-roofing-experts-577854062?lid=1002193288270"
"80","hvac","Controlled Air Corp","(954) 565-2586","33309 area","weak_directory_style_site","http://controlledaircorp.localsearch.com/","https://www.yellowpages.com/oakland-park-fl/mip/controlled-air-corp-503436821"
"80","auto repair","Demeo Automotive","(954) 648-5366","Fort Lauderdale, FL 33309","weak_directory_style_site","http://demeoautomotive.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/demeo-automotive-501814107"
"80","plumbers","Drain Service","(954) 903-2505","Fort Lauderdale, FL 33309","weak_directory_style_site","http://drainservice545190089.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/drain-service-545190089"
"80","auto repair","Ec Detailing","(954) 351-8002","Fort Lauderdale, FL 33309","weak_directory_style_site","http://ecdetailing.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/ec-detailing-17146397"
"80","plumbers","Eh Hosbach Plumbing","(954) 368-7965","Fort Lauderdale, FL 33309","weak_directory_style_site","http://ehhosbachplumbing.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/eh-hosbach-plumbing-497702330"
"80","auto repair","Empire Manufacturing","(954) 626-0056","Fort Lauderdale, FL 33309","weak_directory_style_site","http://empiremanufacturingfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/empire-manufacturing-544980971"
"80","electricians","Energy","(954) 366-1478","Ft Lauderdale, FL 33309","weak_directory_style_site","http://energy474492648.localsearch.com/","https://www.yellowpages.com/ft-lauderdale-fl/mip/energy-474492648"
"80","plumbers","Experienced Plumbing Service","(954) 284-0916","Fort Lauderdale, FL 33309","weak_directory_style_site","http://experiencedplumbingservice550709210.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/experienced-plumbing-service-550709210"
"80","auto repair","Fender Mender","(954) 772-0313","Fort Lauderdale, FL 33309","weak_directory_style_site","http://fendermenderfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/fender-mender-509477371"
"80","hvac","Fl National AC Repair","(954) 233-3932","Oakland Park, FL 33309","weak_directory_style_site","http://flnationalacrepair.localsearch.com/","https://www.yellowpages.com/oakland-park-fl/mip/fl-national-ac-repair-470784958"
"80","plumbers","Forestar Plumbing","(954) 942-2261","Fort Lauderdale, FL 33309","weak_directory_style_site","http://forestarplumbing.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/forestar-plumbing-542859878"
"80","auto repair","Fort Lauderdale Collision","(954) 491-3904","Fort Lauderdale, FL 33309","weak_directory_style_site","http://fortlauderdalecollisionfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-collision-497171963"
"80","plumbers","Fort Lauderdale Cooling Professionals","(954) 634-5359","Fort Lauderdale, FL 33309","weak_directory_style_site","http://fortlauderdalecoolingprofessionals.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-cooling-professionals-525905974"
"80","plumbers","Fort Lauderdale Plumbing Hydrojetting","(954) 363-9287","Fort Lauderdale, FL 33309","weak_directory_style_site","http://yellowpages.com/wilton-manors-fl/mip/rapid-rooter-plumbing-drain-service-556988628","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-plumbing-hydrojetting-550685421"
"80","electricians","Great Electricians","(954) 507-4964","Oakland Park, FL 33309","weak_directory_style_site","http://greatelectricians.localsearch.com/","https://www.yellowpages.com/oakland-park-fl/mip/great-electricians-528302628"
"80","roofing","Industrial Roofing Inc","(954) 537-1188","Fort Lauderdale, FL 33309","weak_directory_style_site","http://industrialroofinginc.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/industrial-roofing-inc-537699312"
"80","plumbers","J R Pump Service Inc","(941) 488-5452","Fort Lauderdale, FL 33309","weak_directory_style_site","http://jrpumpserviceinc.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/j-r-pump-service-inc-579100979"
"80","plumbers","Jampro Plumbing Inc","(954) 558-2191","Lauderdale Lakes, FL 33309","weak_directory_style_site","http://jamproplumbinginc.localsearch.com/","https://www.yellowpages.com/lauderdale-lakes-fl/mip/jampro-plumbing-inc-551901081"
"80","auto repair","Jubin Auto","(954) 772-1033","Fort Lauderdale, FL 33309","weak_directory_style_site","http://jubinautofl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/jubin-auto-483626280"
"80","auto repair","Jubin Auto Repair","(954) 630-2860","Fort Lauderdale, FL 33309","weak_directory_style_site","http://jubinautorepairfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/jubin-auto-repair-1839264"
"80","electricians","Langer Electric","(954) 984-8489","Fort Lauderdale, FL 33309","weak_directory_style_site","http://langerelectric.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/langer-electric-553174386"
"80","roofing","Local Roofing Contractors","(754) 240-0474","Fort Lauderdale, FL 33309","weak_directory_style_site","http://localroofingcontractors552463870.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/local-roofing-contractors-552463870"
"80","auto repair","Petits Automotive","(954) 364-8880","Fort Lauderdale, FL 33309","weak_directory_style_site","http://petitsautomotive.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/petits-automotive-490264689"
"80","auto repair","Pines Automotive-Brake Express","(954) 583-7755","Fort Lauderdale, FL 33309","weak_directory_style_site","http://pinesautomotivebrakeexpress.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/pines-automotive-brake-express-22781133"
"80","auto repair","Precision Tune Auto Care","(954) 747-9907","Fort Lauderdale, FL 33309","weak_directory_style_site","http://precisiontuneautocare6019369.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/precision-tune-auto-care-6019369"
"80","roofing","Premier Construction Contractors","(954) 214-7214","Fort Lauderdale, FL 33309","weak_directory_style_site","http://premierconstructioncontractors.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/premier-construction-contractors-506572017"
"80","electricians","Premier Electrical Staffing","(954) 530-7672","Fort Lauderdale, FL 33309","weak_directory_style_site","http://premierelectricalstaffing534134808.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/premier-electrical-staffing-534134808"
"80","hvac","Reeve Air Conditioning Inc","(954) 764-4481","Fort Lauderdale, FL 33309","weak_directory_style_site","http://reeveairconditioninginc462406928.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/reeve-air-conditioning-inc-462406928"
"80","electricians","Roy Gentry","(954) 366-5729","Fort Lauderdale, FL 33309","weak_directory_style_site","http://roygentryfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/roy-gentry-502842231"
"80","roofing","Sam 'r' Roofing","(754) 422-7779","Fort Lauderdale, FL 33309","weak_directory_style_site","http://samrroofingfl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/sam-r-roofing-477976435"
"80","auto repair","Save-A-Life","(954) 566-5155","Fort Lauderdale, FL 33309","weak_directory_style_site","http://savealifefl.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/save-a-life-472007477"
"80","auto repair","Sawgrass Auto Transport","(954) 530-7685","Fort Lauderdale, FL 33309","weak_directory_style_site","http://sawgrassautotransport.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/sawgrass-auto-transport-454036481"
"80","plumbers","Southern Green of Southern Florida","(954) 730-8727","Fort Lauderdale, FL 33309","weak_directory_style_site","http://southerngreenofsouthernflorida.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/southern-green-of-southern-florida-560656429"
"80","plumbers","Stahl Plumbing Services","(954) 837-9120","Lauderdale Lakes, FL 33309","weak_directory_style_site","https://stahl-plumbing-services-llc.tankworth.com/","https://www.yellowpages.com/lauderdale-lakes-fl/mip/stahl-plumbing-services-582391400"
"80","auto repair","Tiger Automotive","(954) 491-2530","Fort Lauderdale, FL 33309","weak_directory_style_site","http://tigerautomotive.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/tiger-automotive-9847885"
"80","auto repair","Transmissions Gone Wild","(954) 968-6077","Fort Lauderdale, FL 33309","weak_directory_style_site","http://transmissionsgonewild.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/transmissions-gone-wild-465322192"
"80","auto repair","TRS Inc","(954) 676-5556","Fort Lauderdale, FL 33309","weak_directory_style_site","http://yellowpages.com/oakland-park-fl/mip/bellcast-construction-563219397","https://www.yellowpages.com/fort-lauderdale-fl/mip/trs-inc-581400480"
"80","plumbers","V & W Plumbing Co Inc","(954) 218-5809","Fort Lauderdale, FL 33309","weak_directory_style_site","https://v-w-plumbing-co-inc-33309.tankworth.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/v-w-plumbing-co-inc-582390972"
"80","plumbers","Westend Plumbing","(954) 851-9979","Fort Lauderdale, FL 33309","weak_directory_style_site","http://westendplumbing579130762.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/westend-plumbing-579130762"
"80","plumbers","Wolfe & Bob's Plumbing","(954) 566-4658","Fort Lauderdale, FL 33309","weak_directory_style_site","http://wolfebobsplumbing459199809.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/wolfe-bobs-plumbing-459199809"
"70","dentists","Corral, Anthony R, DMD","(954) 451-2290","Fort Lauderdale, FL 33309","weak_directory_style_site","http://corralanthonyrdmd.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/corral-anthony-r-dmd-578857434"
"70","dentists","Dental Evolutions Laboratory","(954) 368-3869","Fort Lauderdale, FL 33309","weak_directory_style_site","http://dentalevolutionslaboratory.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/dental-evolutions-laboratory-530290047"
"70","dentists","Dentaland Dentaland","(954) 541-3902","Fort Lauderdale, FL 33309","weak_directory_style_site","http://dentalanddentaland.localsearch.com/","https://www.yellowpages.com/fort-lauderdale-fl/mip/dentaland-dentaland-503858439"
