priority_score,business_name,category,phone,address,web_status,pitch_angle,offer,call_opener,status,next_action_date,notes
"100","Home Roofing Contractors Fort Lauderdale, FL","roofing","(954) 678-6942","Fort Lauderdale, FL 33309","no_website_found","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Home Roofing Contractors Fort Lauderdale, FL? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is no website found. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/home-roofing-contractors-fort-lauderdale-fl-562722227"
"80","Advantage Roofing","roofing","(855) 887-7709","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Advantage Roofing? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/advantage-roofing-11273588"
"80","Aldred Roofing Inc","roofing","(954) 733-7332","Oakland Park, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Aldred Roofing Inc? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/oakland-park-fl/mip/aldred-roofing-inc-560247787"
"80","Altron Electrical Services Inc","electricians","(954) 530-2532","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Altron Electrical Services Inc? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/altron-electrical-services-inc-520290641"
"80","American Auto Vinyl Inc","auto repair","(954) 741-4925","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this American Auto Vinyl Inc? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/american-auto-vinyl-inc-491150783"
"80","Analog Electric","electricians","(954) 726-5045","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Analog Electric? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/analog-electric-480847266"
"80","Arise & Shine","roofing","(954) 724-9575","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Arise & Shine? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/arise-shine-451710326"
"80","Associated Fleet","auto repair","(954) 533-7343","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Associated Fleet? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/associated-fleet-540783539"
"80","Autoscr","auto repair","(954) 776-7799","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Autoscr? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/autoscr-504089813"
"80","Blouin Electric","electricians","(954) 491-6353","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Blouin Electric? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/blouin-electric-523352297"
