lead_id,business_name,category,phone,status,stage,last_touch_date,next_action_date,next_action_type,touch_count,mockup_status,mockup_link,loom_link,email_subject,notes
33309_001,"Home Roofing Contractors Fort Lauderdale, FL",roofing,(954) 678-6942,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,ready,https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-01-home-roofing-contractors-fort-lauderdale-fl.html),PENDING_RECORDING,"Quick website example for Home Roofing Contractors Fort Lauderdale, FL",Top-5 concept generated; send call+email today.
33309_002,Advantage Roofing,roofing,(855) 887-7709,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,ready,https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-02-advantage-roofing.html),PENDING_RECORDING,Quick website example for Advantage Roofing,Top-5 concept generated; send call+email today.
33309_003,Aldred Roofing Inc,roofing,(954) 733-7332,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,ready,https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-03-aldred-roofing-inc.html),PENDING_RECORDING,Quick website example for Aldred Roofing Inc,Top-5 concept generated; send call+email today.
33309_004,Arise & Shine,roofing,(954) 724-9575,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,ready,https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-04-arise-shine.html),PENDING_RECORDING,Quick website example for Arise & Shine,Top-5 concept generated; send call+email today.
33309_005,BORJAS Roofing,roofing,(954) 995-3894,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,ready,https://drive.google.com/drive/folders/1bnP_PN-vcJjjBBTGwhzxplNdLDYAFvai?usp=drive_link (file: mockup-05-borjas-roofing.html),PENDING_RECORDING,Quick website example for BORJAS Roofing,Top-5 concept generated; send call+email today.
33309_006,Compare Roofing Experts,roofing,(888) 906-6670,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Compare Roofing Experts,
33309_007,Industrial Roofing Inc,roofing,(954) 537-1188,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Industrial Roofing Inc,
33309_008,Local Roofing Contractors,roofing,(754) 240-0474,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Local Roofing Contractors,
33309_009,Premier Construction Contractors,roofing,(954) 214-7214,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Premier Construction Contractors,
33309_010,Drain Service,plumbers,(954) 903-2505,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Drain Service,
33309_011,Eh Hosbach Plumbing,plumbers,(954) 368-7965,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Eh Hosbach Plumbing,
33309_012,Experienced Plumbing Service,plumbers,(954) 284-0916,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Experienced Plumbing Service,
33309_013,Forestar Plumbing,plumbers,(954) 942-2261,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Forestar Plumbing,
33309_014,Fort Lauderdale Cooling Professionals,plumbers,(954) 634-5359,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Fort Lauderdale Cooling Professionals,
33309_015,Fort Lauderdale Plumbing Hydrojetting,plumbers,(954) 363-9287,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Fort Lauderdale Plumbing Hydrojetting,
33309_016,J R Pump Service Inc,plumbers,(941) 488-5452,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for J R Pump Service Inc,
33309_017,Jampro Plumbing Inc,plumbers,(954) 558-2191,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Jampro Plumbing Inc,
33309_018,Altron Electrical Services Inc,electricians,(954) 530-2532,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Altron Electrical Services Inc,
33309_019,Analog Electric,electricians,(954) 726-5045,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Analog Electric,
33309_020,Blouin Electric,electricians,(954) 491-6353,contacting,email_followup_1,2026-07-21,2026-07-24,email_followup_2,2,pending,,,Quick website example for Blouin Electric,
